marca,estabelecimento
mcdonalds,MC DONALDS  ANP          
mcdonalds,MC DONALDS  GOS          
mcdonalds,MC DONALDS AP2           
mcdonalds,McDonalds 433 Krakow     
mcdonalds,MC DONALDS  FAO          
mcdonalds,MC DONALDS SLM           
mcdonalds,MC DONALDS-C.PLAZA       
mcdonalds,MC DONALDS  PGS          
mcdonalds,MC DONALDS  CDE          
mcdonalds,MC DONALDS VVT           
mcdonalds,MC DONALDS IFI           
mcdonalds,MC DONALDS-ALCORCON      
mcdonalds,MC DONALDS CRD           
mcdonalds,MC DONALDS  GVD          
mcdonalds,MC DONALDS  ANR          
mcdonalds,MC DONALDS TTE           
mcdonalds,MC DONALDS NSB           
mcdonalds,MC DONALDS POD           
mcdonalds,MC DONALDS DSL           
mcdonalds,MC DONALDS  PTR          
mcdonalds,MC DONALDS  RPT          
mcdonalds,MC DONALDS NSC           
mcdonalds,MC DONALDS LJD           
mcdonalds,MC DONALDS SLO           
mcdonalds,MC DONALDS JGS           
mcdonalds,MC DONALDS  PND          
mcdonalds,MCDONALDS 9059221 Viru   
mcdonalds,DELIVERYCENTR*MCDONALDS  
mcdonalds,MCDONALDS IBM            
mcdonalds,MC DONALDS UBD           
mcdonalds,MC DONALDS-BONSUCESSO    
mcdonalds,MC DONALDS BWL           
mcdonalds,MC DONALDS AVD           
mcdonalds,MC DONALDS FOP           
mcdonalds,MC DONALDS DSN           
mcdonalds,MC DONALDS DMA           
mcdonalds,MC DONALDS AVE           
mcdonalds,MC DONALDS ISJ           
mcdonalds,JAMESDELIVERY*MCDONALDS  
mcdonalds,MC DONALDS JND           
mcdonalds,MC DONALDS DSO           
mcdonalds,MC DONALDS PARQUE        
mcdonalds,MCDONALDS PORTO          
mcdonalds,MC DONALDS  BIP          
mcdonalds,MC DONALDS BEIRAMAR      
mcdonalds,MC DONALDS VPK           
mcdonalds,MCDONALDS LAMBTON QUAY   
mcdonalds,MCDONALDS AXV            
mcdonalds,MCDONALDS BROOKVALE      
mcdonalds,MC DONALDS POI           
mcdonalds,MC DONALDS  ZZZ          
mcdonalds,MC DONALDS ZUM           
mcdonalds,MC DONALDS DMC           
mcdonalds,MC DONALDS SLT           
mcdonalds,MC DONALDS VCP           
mcdonalds,MC DONALDS  VOL          
mcdonalds,MC DONALDS  BPA          
mcdonalds,MC DONALDS FVD           
mcdonalds,MC DONALDS  PAM          
mcdonalds,MC DONALDS -LIM      3260
mcdonalds,MCDONALDS BSS            
mcdonalds,MCDONALDS TD2            
mcdonalds,MC DONALDS TAB           
mcdonalds,MC DONALDS  ANZ          
mcdonalds,MC DONALDS  PAN          
mcdonalds,MC DONALDS ISO           
mcdonalds,MC DONALDS EB2           
mcdonalds,MC DONALDS  VBR          
mcdonalds,MC DONALDS TAC           
mcdonalds,PAG*McDonalds            
mcdonalds,MC DONALDS LEIDSESTRA    
mcdonalds,MC DONALDS TTO           
